Drug,Unnamed: 1,GENE,Query Score,Interaction Score,Normalized_query_score,Normalized_interaction_score
  CHEMBL411085,,EHMT2,4.36,0.02,0.03716275021758051,5.8680280491740756e-05
  CHEMBL527586,,EHMT2,3.27,0.02,0.027676240208877288,5.8680280491740756e-05
  NORFLOXACIN,,EHMT2,3.27,0.02,0.027676240208877288,5.8680280491740756e-05
  CHEMBL530664,,EHMT2,2.9,0.02,0.024456048738033073,5.8680280491740756e-05
  CHEMBL2094456,,EHMT2,2.9,0.02,0.024456048738033073,5.8680280491740756e-05
  CHEMBL224032,,EHMT2,2.9,0.02,0.024456048738033073,5.8680280491740756e-05
  CHEMBL316796,,EHMT2,2.9,0.02,0.024456048738033073,5.8680280491740756e-05
  VANITIOLIDE,,EHMT2,2.9,0.02,0.024456048738033073,5.8680280491740756e-05
  CYCLOSERINE,,EHMT2,2.9,0.02,0.024456048738033073,5.8680280491740756e-05
  SULFADIAZINE,,EHMT2,2.9,0.02,0.024456048738033073,5.8680280491740756e-05
  CHEMBL580851,,EHMT2,2.9,0.02,0.024456048738033073,5.8680280491740756e-05
  ETHAMSYLATE,,EHMT2,2.9,0.02,0.024456048738033073,5.8680280491740756e-05
  LINSIDOMINE,,EHMT2,2.9,0.02,0.024456048738033073,5.8680280491740756e-05
  DIMERCAPROL,,EHMT2,2.9,0.01,0.024456048738033073,2.9340140245870378e-05
  CHEMBL186526,,EHMT2,2.61,0.01,0.02193211488250653,2.9340140245870378e-05
  CHEMBL104264,,EHMT2,2.61,0.01,0.02193211488250653,2.9340140245870378e-05
  CAFFEIC ACID,,EHMT2,2.61,0.01,0.02193211488250653,2.9340140245870378e-05
  LISINOPRIL HYDRATE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL1328677,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL515495,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  NALIDIXIC ACID,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL528119,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL295212,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL585030,,EHMT2,2.18,0.02,0.01818973020017407,5.8680280491740756e-05
  PHENAZINE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CGP-53353,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL1478462,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHLOROETHYLCLONIDINE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  INDOCATE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  NALOXONE BENZOYLHYDRAZONE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL582764,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL1256845,,EHMT2,2.18,0.02,0.01818973020017407,5.8680280491740756e-05
  IODOFORM,,EHMT2,2.18,0.02,0.01818973020017407,5.8680280491740756e-05
  DAMNACANTHAL,,EHMT2,2.18,0.02,0.01818973020017407,5.8680280491740756e-05
  SALSOLINOL HYDROBROMIDE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  METHYLMALONIC ACID,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  ANTHRALIN,,EHMT2,2.18,0.01,0.01818973020017407,2.9340140245870378e-05
  BUFLOMEDIL,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL1331995,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  OLPRINONE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL1256186,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL1449731,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CROCIN,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  APOCIDEINE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  ERGOCRISTINE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  PHENSERINE,,EHMT2,2.18,0.01,0.01818973020017407,2.9340140245870378e-05
  MIANSERIN HYDROCHLORIDE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL121915,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  THIOPROPERAZINE MESYLATE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CARBOXYMETHOXYLAMINE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL603739,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  FENAMIC ACID,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL586982,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL1545737,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL1308346,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHELIDAMIC ACID,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  EFLORNITHINE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  TALIPEXOLE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  DEBRISOQUIN SULFATE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  DEXBROMPHENIRAMINE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHLOROGENIC ACID,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL532412,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  NALOXONE METHIODIDE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL582737,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  GLUTAMIC ACID HYDROCHLORIDE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL193093,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  IDAZOXAN HYDROCHLORIDE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL198666,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL599957,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL1172228,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  MIZORIBINE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL1459149,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  BETAXOLOL HYDROCHLORIDE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  XANTHINE AMINE CONGENER,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  DEXTROMEPROMAZINE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  N-ETHYLMALEIMIDE,,EHMT2,2.18,0.01,0.01818973020017407,2.9340140245870378e-05
  PROPYLENE GLYCOL MONOSTEARATE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL603370,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  THYMOL IODIDE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  (S)-WILLARDIINE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL282199,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL582496,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL600298,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL279556,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  ADEFOVIR DIPIVOXIL,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL1160508,,EHMT2,2.18,0.02,0.01818973020017407,5.8680280491740756e-05
  PYRAZOPHOS,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL529361,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  DEOXIEPINEPHRINE,,EHMT2,2.18,0.01,0.01818973020017407,2.9340140245870378e-05
  TRIPROLIDINE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL1315166,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL1256689,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  SULFAPYRIDINE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL1256510,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL537045,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  LEVISOPRENALINE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL43078,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL1369632,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL35354,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL585269,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL1256984,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  TRITIOZINE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  (4-CHLOROPHENYL)(MORPHOLINO)METHANETHIONE,,EHMT2,2.18,0.02,0.01818973020017407,5.8680280491740756e-05
  CHEMBL591630,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  ICRF-193,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL534214,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL603024,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHAETOCIN,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  METIZOLINE,,EHMT2,2.18,0.02,0.01818973020017407,5.8680280491740756e-05
  CHEMBL227959,,EHMT2,2.18,0.02,0.01818973020017407,5.8680280491740756e-05
  CHEMBL77387,,EHMT2,2.18,0.02,0.01818973020017407,5.8680280491740756e-05
  SYROSINGOPINE,,EHMT2,2.18,0.02,0.01818973020017407,5.8680280491740756e-05
  CHEMBL533577,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL398765,,EHMT2,2.18,0.02,0.01818973020017407,5.8680280491740756e-05
  FLUMEQUINE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  PERAZINE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  DECYLUBIQUINONE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL589670,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL321585,,EHMT2,2.18,0.02,0.01818973020017407,5.8680280491740756e-05
  CHEMBL118378,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL1256174,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL2374078,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL597246,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL584248,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  TINORIDINE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  DIPHOSPHOMETHYLPHOSPHONIC ACID ADENOSYL ESTER,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL530698,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL590672,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL590666,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  BENZOPHENONE-THIOSEMICARBAZONE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CITICOLINE SODIUM,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  HEMICHOLINIUM-3,,EHMT2,2.18,0.02,0.01818973020017407,5.8680280491740756e-05
  RAZOXANE,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  CHEMBL609036,,EHMT2,2.18,0.03,0.01818973020017407,8.802042073761112e-05
  ARACHIDONOYL DOPAMINE,,EHMT2,2.18,0.02,0.01818973020017407,5.8680280491740756e-05
  CHEMBL154580,,EHMT2,1.98,0.01,0.016449086161879897,2.9340140245870378e-05
  N-METHYL-D-ASPARTIC ACID (NMDA),,EHMT2,1.94,0.01,0.01610095735422106,2.9340140245870378e-05
  SALMETEROL XINAFOATE,,EHMT2,1.87,0.01,0.015491731940818104,2.9340140245870378e-05
  ZAPA,,EHMT2,1.87,0.01,0.015491731940818104,2.9340140245870378e-05
  SILIBININ,,EHMT2,1.81,0.01,0.014969538729329853,2.9340140245870378e-05
  GALLIC ACID,,EHMT2,1.81,0.01,0.014969538729329853,2.9340140245870378e-05
  CHEMBL591628,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  CHEMBL1442783,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  CHEMBL595227,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  CEPHALEXIN,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  CHEMBL1335833,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  CARNOSIC ACID,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  CHEMBL1426508,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  TRANSTORINE,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  Z-PRO-PROLINAL,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
"3,4-DIHYDROXYPHENYLACETIC ACID",,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  CHEMBL1256678,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  CHEMBL1489812,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  OSAJIN,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  CHEMBL581251,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  DEFERIPRONE,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  HARMOL,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  SERTACONAZOLE NITRATE,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  CHEMBL602776,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  SARCOLYSIN,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  LONIDAMINE,,EHMT2,1.74,0.01,0.014360313315926894,2.9340140245870378e-05
  CHEMBL591137,,EHMT2,1.63,0.01,0.0134029590948651,2.9340140245870378e-05
  AMANTADINE HYDROCHLORIDE,,EHMT2,1.63,0.01,0.0134029590948651,2.9340140245870378e-05
  CHEMBL602807,,EHMT2,1.63,0.01,0.0134029590948651,2.9340140245870378e-05
  (D)-SERINE,,EHMT2,1.63,0.01,0.0134029590948651,2.9340140245870378e-05
  CHEMBL297784,,EHMT2,1.58,0.01,0.01296779808529156,2.9340140245870378e-05
  CHEMBL606456,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL602206,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL56542,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  DANTHRON,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL547304,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL403741,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  2-MERCAPTOBENZIMIDAZOLE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CYSTEAMINE HYDROCHLORIDE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL344127,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CANAVANINE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  PHENAZINE-1-CARBOXYLIC ACID,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL525106,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  BRONOPOL,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  INDIGO,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
"  0-HEXYL-1,3-DIAMINE-PLATINUM 2,2-DICHLORIDE",,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CAPENSIN,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL1368696,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  GUAIAZULEN,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  PHYSOSTIGMINE,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CYSTAMINE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  PORFIROMYCIN,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  TREQUINSIN,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  ACETYLSEROTONIN,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  BENFLUOREX HYDROCHLORIDE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  NIALAMIDE,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  GR-55562,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  PYRROLIDINE DITHIOCARBAMIC ACID,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CHEMBL27403,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL520992,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  FOSFONET,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  S-NITROSOGLUTATHIONE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL582287,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  ACTINONIN,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL596631,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  SOBUZOXANE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  EPHEDRINE SULFATE,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CHEMBL602763,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  ARUNDINE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL1255936,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CHEMBL548615,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CHEMBL592588,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  THIOTHIXENE HYDROCHLORIDE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL1256995,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  HYPEROSIDE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  TALIPEXOLE HYDROCHLORIDE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  4-BENZYLOXYANILINE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  INDOLE-3-CARBINOL,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CHEMBL577851,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL596836,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  SULFINPYRAZONE,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CHEMBL584452,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  MUSCARINE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CARBIDOPA,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CHEMBL565893,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  PROSTAGLANDIN A2,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  QUINELORANE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  IODOQUINOL,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CLINAFLOXACIN,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL1256698,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  OXITRIPTAN,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CHEMBL580076,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  QUISQUALATE,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CHEMBL601367,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL600173,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  PIRETANIDE,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CHEMBL591864,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL421215,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CHEMBL590949,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CHEMBL584868,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL601744,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL605959,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL586029,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  N-METHYLHISTAMINE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  METRAZOLINE OXALATE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL1256738,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL387632,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  SALICYLHYDROXAMIC ACID,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
"1,2-NEPHTHOQUINONE",,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CHEMBL585628,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CHEMBL534288,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL26320,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  ICILLIN,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL601605,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  FLUNARIZINE,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CORYNANTHEINE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL591404,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
"3,5-DINITROCATECHOL(QOR-486)",,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  STREPTOMYCIN,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  PYRAZINOIC ACID,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  BETAINE HYDROCHLORIDE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  DIOTYROSINE,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  5-BENZYLOXYTRYPTAMINE,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL1605629,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL533954,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CHEMBL1363249,,EHMT2,1.45,0.01,0.011836379460400347,2.9340140245870378e-05
  CHEMBL476025,,EHMT2,1.45,0.02,0.011836379460400347,5.8680280491740756e-05
  CHEMBL538798,,EHMT2,1.31,0.01,0.01061792863359443,2.9340140245870378e-05
  CHEMBL1341830,,EHMT2,1.31,0.01,0.01061792863359443,2.9340140245870378e-05
  CHLOROXINE,,EHMT2,1.31,0.01,0.01061792863359443,2.9340140245870378e-05
  OXYMETHOLONE,,EHMT2,1.31,0.01,0.01061792863359443,2.9340140245870378e-05
  CHEMBL403183,,EHMT2,1.31,0.01,0.01061792863359443,2.9340140245870378e-05
  CHEMBL80155,,EHMT2,1.31,0.01,0.01061792863359443,2.9340140245870378e-05
  HYDRALAZINE,,EHMT2,1.28,0.0,0.010356832027850305,0.0
  CHEMBL581872,,EHMT2,1.24,0.01,0.01000870322019147,2.9340140245870378e-05
  CHEMBL601385,,EHMT2,1.24,0.01,0.01000870322019147,2.9340140245870378e-05
  ALFUZOSIN,,EHMT2,1.24,0.01,0.01000870322019147,2.9340140245870378e-05
  CHEMBL457504,,EHMT2,1.24,0.01,0.01000870322019147,2.9340140245870378e-05
  IODOACETAMIDE,,EHMT2,1.24,0.0,0.01000870322019147,0.0
  PROROXAN HYDROCHLORIDE,,EHMT2,1.24,0.01,0.01000870322019147,2.9340140245870378e-05
  CHEMBL586937,,EHMT2,1.24,0.01,0.01000870322019147,2.9340140245870378e-05
  CHEMBL1546228,,EHMT2,1.24,0.01,0.01000870322019147,2.9340140245870378e-05
  TOLAZAMIDE,,EHMT2,1.24,0.01,0.01000870322019147,2.9340140245870378e-05
  CHEMBL88553,,EHMT2,1.24,0.01,0.01000870322019147,2.9340140245870378e-05
  PYRITHIONE ZINC,,EHMT2,1.24,0.0,0.01000870322019147,0.0
  CYCLIC ADENOSINE MONOPHOSPHATE,,EHMT2,1.24,0.01,0.01000870322019147,2.9340140245870378e-05
  CLIOQUINOL,,EHMT2,1.21,0.0,0.009747606614447344,0.0
  AMSACRINE,,EHMT2,1.21,0.0,0.009747606614447344,0.0
  SURAMIN HEXASODIUM,,EHMT2,1.19,0.01,0.009573542210617928,2.9340140245870378e-05
  E319,,EHMT2,1.19,0.01,0.009573542210617928,2.9340140245870378e-05
  CHEMBL139935,,EHMT2,1.19,0.01,0.009573542210617928,2.9340140245870378e-05
  CHEMBL522983,,EHMT2,1.19,0.01,0.009573542210617928,2.9340140245870378e-05
  CHEMBL328710,,EHMT2,1.19,0.01,0.009573542210617928,2.9340140245870378e-05
  PYROGALLOL,,EHMT2,1.16,0.0,0.009312445604873803,0.0
  THIRAM,,EHMT2,1.14,0.0,0.009138381201044385,0.0
  MEDRONIC ACID,,EHMT2,1.09,0.02,0.008703220191470845,5.8680280491740756e-05
  TELMISARTAN,,EHMT2,1.09,0.01,0.008703220191470845,2.9340140245870378e-05
