Drug_name,GENE,Query Score,Interaction Score,Normalized_query_score,Normalized_interaction_score
CHEMBL600734,EHMT2,0.4,0.01,0.002697998,2.93E-05
CHEMBL458328,EHMT2,0.4,0.01,0.002697998,2.93E-05
CLOSANTEL,EHMT2,0.4,0.01,0.002697998,2.93E-05
TOLFENAMIC ACID,EHMT2,0.4,0.01,0.002697998,2.93E-05
NIFEDIPINE,EHMT2,0.38,0,0.002523934,0
PAROXETINE,EHMT2,0.38,0,0.002523934,0
ESTRADIOL,EHMT2,0.38,0,0.002523934,0
OMEPRAZOLE,EHMT2,0.38,0,0.002523934,0
CITALOPRAM,EHMT2,0.37,0,0.002436902,0
HISTAMINE,EHMT2,0.36,0.01,0.002349869,2.93E-05
CHEMBL533602,EHMT2,0.36,0.01,0.002349869,2.93E-05
PD-169316,EHMT2,0.36,0.01,0.002349869,2.93E-05
CHEMBL86464,EHMT2,0.36,0.01,0.002349869,2.93E-05
CHEMBL527584,EHMT2,0.36,0.01,0.002349869,2.93E-05
CHEMBL116548,EHMT2,0.36,0.01,0.002349869,2.93E-05
GALLAMINE TRIETHIODIDE,EHMT2,0.36,0.01,0.002349869,2.93E-05
CHOLECALCIFEROL,EHMT2,0.36,0.01,0.002349869,2.93E-05
FENOLDOPAM,EHMT2,0.36,0.01,0.002349869,2.93E-05
CHEMBL258756,EHMT2,0.36,0.01,0.002349869,2.93E-05
KETOCONAZOLE,EHMT2,0.34,0,0.002175805,0
LANSOPRAZOLE,EHMT2,0.34,0,0.002175805,0
PROCHLORPERAZINE,EHMT2,0.34,0,0.002175805,0
FLUPIRTINE MALEATE,EHMT2,0.34,0.01,0.002175805,2.93E-05
CHEMBL601364,EHMT2,0.34,0.01,0.002175805,2.93E-05
RESERPINE,EHMT2,0.34,0,0.002175805,0
CEPHAPIRIN SODIUM,EHMT2,0.34,0.01,0.002175805,2.93E-05
CHEMBL211670,EHMT2,0.34,0.01,0.002175805,2.93E-05
CHEMBL1504679,EHMT2,0.34,0.01,0.002175805,2.93E-05
NOREPINEPHRINE,EHMT2,0.32,0,0.002001741,0
SPERMINE,EHMT2,0.31,0,0.001914708,0
CHEMBL56393,EHMT2,0.31,0,0.001914708,0
DOXYCYCLINE,EHMT2,0.31,0,0.001914708,0
CEFAMANDOLE SODIUM,EHMT2,0.31,0,0.001914708,0
GW7647,EHMT2,0.3,0,0.001827676,0
NICARDIPINE,EHMT2,0.3,0,0.001827676,0
CHEMBL297304,EHMT2,0.29,0,0.001740644,0
LOMOFUNGIN,EHMT2,0.29,0,0.001740644,0
HYPERICIN,EHMT2,0.29,0,0.001740644,0
SEMAXANIB,EHMT2,0.29,0,0.001740644,0
ETAZOLATE,EHMT2,0.27,0,0.00156658,0
PAPAVERINE,EHMT2,0.27,0,0.00156658,0
CHEMBL493863,EHMT2,0.27,0,0.00156658,0
HELENALIN,EHMT2,0.27,0,0.00156658,0
BROMOCRIPTINE,EHMT2,0.27,0,0.00156658,0
CHLORPROMAZINE HYDROCHLORIDE,EHMT2,0.26,0,0.001479547,0
PHENELZINE,EHMT2,0.26,0,0.001479547,0
PHENOTHIAZINE,EHMT2,0.26,0,0.001479547,0
OXYTETRACYCLINE,EHMT2,0.24,0,0.001305483,0
CHEMBL19954,EHMT2,0.24,0,0.001305483,0
YOHIMBINE,EHMT2,0.23,0,0.001218451,0
METERGOLINE,EHMT2,0.23,0,0.001218451,0
CHEMBL234338,EHMT2,0.21,0,0.001044386,0
METITEPINE,EHMT2,0.21,0,0.001044386,0
PALIPERIDONE,EHMT2,0.21,0,0.001044386,0
THIORIDAZINE,EHMT2,0.21,0,0.001044386,0
FLUSPIRILENE,EHMT2,0.19,0,0.000870322,0
SEROTONIN,EHMT2,0.19,0,0.000870322,0
IMIPRAMINE,EHMT2,0.14,0,0.000435161,0
ZIPRASIDONE,EHMT2,0.12,0,0.000261097,0
OSI-027,MAPKAP1,1.31,1.89,0.010617929,0.005545287
AZD-8055,MAPKAP1,0.87,1.26,0.006788512,0.003696858
SAPANISERTIB,MAPKAP1,0.76,0.82,0.005831158,0.002405892
CHEMBL569864,EHMT1,1.09,7.1,0.00870322,0.0208315
ELOTUZUMAB,SLAMF7,26.13,340.83,0.226631854,1
GEFITINIB,TAB2,0.9,1.67,0.007049608,0.004899803
GUANIDINE HYDROCHLORIDE,KCNH3,0.11,0.36,0.000174064,0.001056245
TEDISAMIL,KCNH3,0.11,0.36,0.000174064,0.001056245
DALFAMPRIDINE,KCNH3,0.1,0.33,8.70E-05,0.000968225
NERISPIRDINE,KCNH3,0.09,0.28,0,0.000821524
FOSTAMATINIB,CIT,0.96,0.38,0.007571802,0.001114925
FOSFOCREATINE,CKB,5.08,33.14,0.043429069,0.097233225
CREATINE,CKB,3.11,20.29,0.026283725,0.059531145
CHEMBL155103,MIF,17.42,28.4,0.150826806,0.083325998
CHEMBL524449,MIF,8.71,14.2,0.075021758,0.041662999
CHEMBL256315,MIF,8.71,14.2,0.075021758,0.041662999
CHEMBL211769,MIF,8.71,14.2,0.075021758,0.041662999
CHEMBL253951,MIF,8.71,14.2,0.075021758,0.041662999
CAFFEIC ACID,MIF,5.23,2.84,0.044734552,0.0083326
CHEMBL6685,MIF,4.36,7.1,0.03716275,0.0208315
4-HYDROXYPHENYLPYRUVIC ACID,MIF,4.36,7.1,0.03716275,0.0208315
ALRESTATIN,AKR1B1,17.42,3.92,0.150826806,0.011501335
LIDORESTAT,AKR1B1,17.42,7.84,0.150826806,0.02300267
CHEMBL399598,AKR1B1,17.42,7.84,0.150826806,0.02300267
CHEMBL240719,AKR1B1,17.42,7.84,0.150826806,0.02300267
FIDARESTAT,AKR1B1,13.07,2.94,0.112967798,0.008626001
RANIRESTAT,AKR1B1,13.07,5.88,0.112967798,0.017252002
ZOPOLRESTAT,AKR1B1,13.07,2.94,0.112967798,0.008626001
(S,AKR1B1,13.07,5.88,0.112967798,0.017252002
TOLRESTAT,AKR1B1,11.62,2.61,0.100348129,0.007657777
ZENARESTAT,AKR1B1,8.71,3.92,0.075021758,0.011501335
TECTORIGENIN,AKR1B1,8.71,3.92,0.075021758,0.011501335
CHEMBL240725,AKR1B1,8.71,3.92,0.075021758,0.011501335
CHEMBL395347,AKR1B1,8.71,3.92,0.075021758,0.011501335
CHEMBL292963,AKR1B1,8.71,3.92,0.075021758,0.011501335
CHEMBL1235556,AKR1B1,8.71,3.92,0.075021758,0.011501335
CHEMBL159820,AKR1B1,8.71,3.92,0.075021758,0.011501335
CHEMBL241577,AKR1B1,8.71,3.92,0.075021758,0.011501335
SULINDAC,AKR1B1,7.92,0.71,0.068146214,0.00208315
OXILOFRINE,AKR1B1,4.36,1.96,0.03716275,0.005750667
SORBINIL,AKR1B1,4.36,1.96,0.03716275,0.005750667
DABELOTINE,AKR1B1,4.36,1.96,0.03716275,0.005750667
CACODYLIC ACID,AKR1B1,4.36,1.96,0.03716275,0.005750667
SODIUM BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE PHOSPHATE,AKR1B1,3.6,0.27,0.030548303,0.000792184
CHEMBL1161866,AKR1B1,3.54,0.04,0.03002611,0.000117361
EXISULIND,AKR1B1,1.94,0.44,0.016100957,0.001290966
URACIL,AKR1B1,1.45,0.65,0.011836379,0.001907109
EPALRESTAT,AKR1B1,1.09,0.49,0.00870322,0.001437667
PIMAGEDINE,AKR1B1,1.09,0.49,0.00870322,0.001437667
GLUTATHIONE,AKR1B1,0.22,0.1,0.001131419,0.000293401
MELLITIC ACID,PGAM2,17.42,113.61,0.150826806,0.333333333
3-PHOSPHOGLYCERIC ACID,PGAM2,17.42,37.87,0.150826806,0.111111111
ASPARTIC ACID,PAICS,10.16,18.94,0.087641427,0.055570226
BIO-11006,MARCKS,4.36,56.81,0.03716275,0.166681337
CHEMBL1235255,PFN2,2.9,37.87,0.024456049,0.111111111
TETRAETHYLAMMONIUM CHLORIDE,GNAS,4.36,1.54,0.03716275,0.004518382
ETOCARLIDE,GNAS,4.36,1.54,0.03716275,0.004518382
CHEMBL1417470,GNAS,4.36,1.54,0.03716275,0.004518382
CHEMBL1506226,GNAS,4.36,1.54,0.03716275,0.004518382
CHEMBL1561747,GNAS,4.36,1.54,0.03716275,0.004518382
TRIACETIN,GNAS,4.36,1.54,0.03716275,0.004518382
CHEMBL1500913,GNAS,4.36,1.54,0.03716275,0.004518382
CHEMBL527586,GNAS,3.27,0.38,0.02767624,0.001114925
CHEMBL560296,GNAS,2.9,0.51,0.024456049,0.001496347
CHEMBL1392244,GNAS,2.9,0.51,0.024456049,0.001496347
CHEMBL585408,GNAS,2.18,0.77,0.01818973,0.002259191
CHEMBL1256845,GNAS,2.18,0.38,0.01818973,0.001114925
CISPLATIN,GNAS,1.77,0.02,0.01462141,5.87E-05
AMITRIPTYLINE HYDROCHLORIDE,GNAS,1.74,0.31,0.014360313,0.000909544
CHEMBL581251,GNAS,1.74,0.31,0.014360313,0.000909544
CHEMBL529918,GNAS,1.45,0.51,0.011836379,0.001496347
CHEMBL578878,GNAS,1.45,0.51,0.011836379,0.001496347
DOBUTAMINE,GNAS,1.45,0.51,0.011836379,0.001496347
CHEMBL1456848,GNAS,1.09,0.38,0.00870322,0.001114925
CHEMBL252417,GNAS,1.09,0.38,0.00870322,0.001114925
CHEMBL460273,GNAS,1.09,0.38,0.00870322,0.001114925
FLUOROURACIL,GNAS,1.08,0.03,0.008616188,8.80E-05
CHEMBL505670,GNAS,0.87,0.04,0.006788512,0.000117361
CHEMBL2002487,GNAS,0.79,0.14,0.006092254,0.000410762
NICLOSAMIDE,GNAS,0.78,0.05,0.006005222,0.000146701
COLFORSIN,GNAS,0.73,0.26,0.005570061,0.000762844
CHEMBL429095,GNAS,0.7,0.03,0.005308964,8.80E-05
ACID BLUE 129,GNAS,0.69,0.08,0.005221932,0.000234721
CHEMBL605003,GNAS,0.69,0.08,0.005221932,0.000234721
CHEMBL530291,GNAS,0.62,0.22,0.004612707,0.000645483
CHEMBL581574,GNAS,0.62,0.22,0.004612707,0.000645483
CLIOXANIDE,GNAS,0.62,0.22,0.004612707,0.000645483
CHEMBL515505,GNAS,0.57,0.07,0.004177546,0.000205381
"9,10-PHENANTHRENEQUINONE",GNAS,0.5,0.06,0.00356832,0.000176041
CHEMBL581044,GNAS,0.48,0.17,0.003394256,0.000498782
GARCINONE E,GNAS,0.44,0.15,0.003046127,0.000440102
MIFEPRISTONE,GNAS,0.44,0.08,0.003046127,0.000234721
VENLAFAXINE,FKBP5,4.36,2.37,0.03716275,0.006953613
CLOMIPRAMINE,FKBP5,4.1,2.23,0.034899913,0.006542851
PAROXETINE,FKBP5,3.07,1.11,0.025935596,0.003256756
CITALOPRAM,FKBP5,2.99,1.08,0.025239339,0.003168735
LITHIUM,FKBP5,2.84,0.77,0.023933856,0.002259191
NEFAZODONE,FKBP5,2.32,2.52,0.019408181,0.007393715
GEMCITABINE,FKBP5,1.38,0.12,0.011227154,0.000352082
BUPROPION,FKBP5,0.92,0.5,0.007223673,0.001467007
CLOZAPINE,FKBP5,0.76,0.12,0.005831158,0.000352082
FLUOXETINE,FKBP5,0.75,0.41,0.005744125,0.001202946
MIRTAZAPINE,FKBP5,0.59,0.65,0.00435161,0.001907109
ESCITALOPRAM,FKBP5,0.17,0.18,0.000696258,0.000528123
CHEMBL1231358,MYH14,8.71,56.81,0.075021758,0.166681337
MAVACAMTEN,MYH14,4.36,28.4,0.03716275,0.083325998
METOPROLOL,SLC25A31,1.09,2.37,0.00870322,0.006953613
ATENOLOL,SLC25A31,0.77,0.56,0.00591819,0.001643048
HYDROCHLOROTHIAZIDE,SLC25A31,0.47,0.51,0.003307224,0.001496347
SONOLISIB,PIK3C2A,1.74,0.25,0.014360313,0.000733504
GSK-2636771,PIK3C2A,1.63,0.24,0.013402959,0.000704163
PF-04691502,PIK3C2A,1.54,0.22,0.012619669,0.000645483
PI-103,PIK3C2A,1.52,0.19,0.012445605,0.000557463
COPANLISIB,PIK3C2A,1.45,0.21,0.011836379,0.000616143
BUPARLISIB,PIK3C2A,1.45,0.16,0.011836379,0.000469442
VOXTALISIB,PIK3C2A,1.45,0.21,0.011836379,0.000616143
GEDATOLISIB,PIK3C2A,1.35,0.13,0.010966057,0.000381422
PILARALISIB,PIK3C2A,1.31,0.19,0.010617929,0.000557463
APITOLISIB,PIK3C2A,1.27,0.16,0.0102698,0.000469442
INFIGRATINIB,PIK3C2A,1.14,0.16,0.009138381,0.000469442
QUERCETIN,PIK3C2A,1.08,0.04,0.008616188,0.000117361
ALPELISIB,PIK3C2A,1.06,0.11,0.008442124,0.000322742
DACTOLISIB,PIK3C2A,0.97,0.08,0.007658834,0.000234721
PICTILISIB,PIK3C2A,0.87,0.13,0.006788512,0.000381422
CHOLESTAN-3BETA,NPC1,8.71,0.84,0.075021758,0.002464572
CHEMBL524603,NPC1,4.36,0.42,0.03716275,0.001232286
CHEMBL1567041,NPC1,4.36,0.42,0.03716275,0.001232286
CHEMBL411085,NPC1,4.36,0.14,0.03716275,0.000410762
CHEMBL599469,NPC1,4.36,0.42,0.03716275,0.001232286
CHEMBL580324,NPC1,4.36,0.42,0.03716275,0.001232286
CHEMBL169046,NPC1,2.9,0.28,0.024456049,0.000821524
CHEMBL1243244,NPC1,2.9,0.28,0.024456049,0.000821524
CHEMBL2094456,NPC1,2.9,0.14,0.024456049,0.000410762
CHEMBL560296,NPC1,2.9,0.14,0.024456049,0.000410762
CHEMBL429335,NPC1,2.61,0.08,0.021932115,0.000234721
CHEMBL1406948,NPC1,2.61,0.08,0.021932115,0.000234721
CHEMBL547924,NPC1,2.18,0.21,0.01818973,0.000616143
CHEMBL1462710,NPC1,2.18,0.21,0.01818973,0.000616143
CHEMBL571228,NPC1,2.18,0.21,0.01818973,0.000616143
CHEMBL573111,NPC1,2.18,0.21,0.01818973,0.000616143
CHEMBL259805,NPC1,2.18,0.11,0.01818973,0.000322742
CHEMBL531710,NPC1,2.18,0.21,0.01818973,0.000616143
CHEMBL259421,NPC1,2.18,0.07,0.01818973,0.000205381
CHEMBL578636,NPC1,2.18,0.21,0.01818973,0.000616143
CHEMBL17784,NPC1,2.18,0.21,0.01818973,0.000616143
CHEMBL259784,NPC1,2.18,0.07,0.01818973,0.000205381
CHEMBL590900,NPC1,2.18,0.21,0.01818973,0.000616143
DAIDZIN,NPC1,2.18,0.11,0.01818973,0.000322742
CHEMBL590184,NPC1,2.18,0.11,0.01818973,0.000322742
CHEMBL1303948,NPC1,1.87,0.06,0.015491732,0.000176041
CHEMBL260028,NPC1,1.74,0.08,0.014360313,0.000234721
CHEMBL563919,NPC1,1.74,0.08,0.014360313,0.000234721
CHEMBL1389794,NPC1,1.74,0.08,0.014360313,0.000234721
ONONIN,NPC1,1.74,0.08,0.014360313,0.000234721
CHEMBL408563,NPC1,1.74,0.08,0.014360313,0.000234721
CHEMBL260451,NPC1,1.74,0.08,0.014360313,0.000234721
CHEMBL1522984,NPC1,1.74,0.08,0.014360313,0.000234721
CHEMBL473721,NPC1,1.63,0.05,0.013402959,0.000146701
CHEMBL260342,NPC1,1.63,0.05,0.013402959,0.000146701
CHEMBL408850,NPC1,1.58,0.04,0.012967798,0.000117361
TRANILAST,NPC1,1.58,0.04,0.012967798,0.000117361
CHEMBL297784,NPC1,1.58,0.04,0.012967798,0.000117361
CHEMBL582507,NPC1,1.45,0.14,0.011836379,0.000410762
CHEMBL600572,NPC1,1.45,0.14,0.011836379,0.000410762
CHEMBL473735,NPC1,1.45,0.07,0.011836379,0.000205381
CHEMBL1467200,NPC1,1.45,0.14,0.011836379,0.000410762
CHEMBL408653,NPC1,1.45,0.07,0.011836379,0.000205381
CHEMBL421088,NPC1,1.45,0.14,0.011836379,0.000410762
CHEMBL1431115,NPC1,1.45,0.14,0.011836379,0.000410762
CHEMBL1390650,NPC1,1.45,0.14,0.011836379,0.000410762
CHEMBL259615,NPC1,1.45,0.05,0.011836379,0.000146701
CHEMBL588525,NPC1,1.45,0.14,0.011836379,0.000410762
CHEMBL1452227,NPC1,1.45,0.14,0.011836379,0.000410762
CHEMBL260213,NPC1,1.45,0.07,0.011836379,0.000205381
CHEMBL444376,NPC1,1.45,0.07,0.011836379,0.000205381
ILEPCIMIDE,NPC1,1.45,0.14,0.011836379,0.000410762
CHEMBL52884,NPC1,1.45,0.14,0.011836379,0.000410762
DROMETRIZOLE,NPC1,1.45,0.14,0.011836379,0.000410762
CHEMBL587449,NPC1,1.45,0.14,0.011836379,0.000410762
CHEMBL233194,NPC1,1.45,0.07,0.011836379,0.000205381
CHEMBL261123,NPC1,1.45,0.07,0.011836379,0.000205381
CHEMBL201325,NPC1,1.31,0.04,0.010617929,0.000117361
HYDRALAZINE,NPC1,1.28,0.02,0.010356832,5.87E-05
CHEMBL1333049,NPC1,1.24,0.06,0.010008703,0.000176041
CHEMBL601385,NPC1,1.24,0.06,0.010008703,0.000176041
CHEMBL1333386,NPC1,1.24,0.06,0.010008703,0.000176041
CHEMBL88553,NPC1,1.24,0.06,0.010008703,0.000176041
CHEMBL328710,NPC1,1.19,0.04,0.009573542,0.000117361
CHEMBL374632,NPC1,1.19,0.04,0.009573542,0.000117361
CHEMBL546344,NPC1,1.09,0.11,0.00870322,0.000322742
NITAZOXANIDE,NPC1,1.09,0.04,0.00870322,0.000117361
CHEMBL591598,NPC1,1.09,0.11,0.00870322,0.000322742
CHEMBL260560,NPC1,1.09,0.05,0.00870322,0.000146701
CHEMBL406557,NPC1,1.09,0.05,0.00870322,0.000146701
CHEMBL1330352,NPC1,1.09,0.11,0.00870322,0.000322742
CHEMBL372629,NPC1,1.09,0.11,0.00870322,0.000322742
CHEMBL127579,NPC1,1.09,0.11,0.00870322,0.000322742
CHEMBL477396,NPC1,1.09,0.11,0.00870322,0.000322742
CHEMBL1517542,NPC1,1.09,0.11,0.00870322,0.000322742
DINALINE,NPC1,1.09,0.11,0.00870322,0.000322742
2-(PHENOXYMETHYL)BENZOTHIAZOLE,NPC1,1.09,0.11,0.00870322,0.000322742
CHEMBL602970,NPC1,1.09,0.11,0.00870322,0.000322742
6-HYDROXYFLAVONE,NPC1,1.09,0.11,0.00870322,0.000322742
CHEMBL47875,NPC1,1.09,0.11,0.00870322,0.000322742
CHEMBL2094573,NPC1,1.09,0.11,0.00870322,0.000322742
4'-METHOXYFLAVONE,NPC1,1.09,0.05,0.00870322,0.000146701
"3,5-DIPHENYLISOXAZOLE",NPC1,1.09,0.11,0.00870322,0.000322742
CHEMBL526776,NPC1,1.09,0.11,0.00870322,0.000322742
CHEMBL600554,NPC1,1.09,0.11,0.00870322,0.000322742
CHEMBL588683,NPC1,1.09,0.11,0.00870322,0.000322742
CHEMBL596839,NPC1,1.09,0.11,0.00870322,0.000322742
TENONITROZOLE,NPC1,1.09,0.11,0.00870322,0.000322742
INDIRUBIN-3-MONOXIME,NPC1,1.02,0.02,0.008093995,5.87E-05
CHEMBL85826,NPC1,0.97,0.05,0.007658834,0.000146701
RUTAECARPINE,NPC1,0.97,0.05,0.007658834,0.000146701
AMLEXANOX,NPC1,0.97,0.02,0.007658834,5.87E-05
"6,4'-DIMETHOXYFLAVONE",NPC1,0.97,0.05,0.007658834,0.000146701
CHEMBL1256364,NPC1,0.97,0.05,0.007658834,0.000146701
CHEMBL1326164,NPC1,0.87,0.08,0.006788512,0.000234721
CHEMBL600103,NPC1,0.87,0.08,0.006788512,0.000234721
CHEMBL483633,NPC1,0.87,0.08,0.006788512,0.000234721
AG1295,NPC1,0.87,0.08,0.006788512,0.000234721
NILE RED,NPC1,0.87,0.08,0.006788512,0.000234721
CHEMBL88612,NPC1,0.87,0.08,0.006788512,0.000234721
7-HYDROXY ISOFLAVONE,NPC1,0.87,0.08,0.006788512,0.000234721
CHEMBL460508,NPC1,0.87,0.08,0.006788512,0.000234721
GRINIMIBINE,NPC1,0.87,0.08,0.006788512,0.000234721
CHEMBL1420181,NPC1,0.87,0.08,0.006788512,0.000234721
CHEMBL530609,NPC1,0.87,0.08,0.006788512,0.000234721
INDOPROFEN,NPC1,0.87,0.04,0.006788512,0.000117361
CHEMBL600968,NPC1,0.87,0.08,0.006788512,0.000234721
CHEMBL583578,NPC1,0.87,0.08,0.006788512,0.000234721
NICLOSAMIDE,NPC1,0.78,0.02,0.006005222,5.87E-05
DAIDZEIN,NPC1,0.76,0.02,0.005831158,5.87E-05
KENPAULLONE,NPC1,0.74,0.01,0.005657093,2.93E-05
CHEMBL581929,NPC1,0.73,0.07,0.005570061,0.000205381
PECTOLINARIGENIN,NPC1,0.73,0.07,0.005570061,0.000205381
CHEMBL584668,NPC1,0.73,0.07,0.005570061,0.000205381
CHEMBL546865,NPC1,0.73,0.07,0.005570061,0.000205381
IPRIFLAVONE,NPC1,0.73,0.04,0.005570061,0.000117361
CHEMBL578061,NPC1,0.7,0.02,0.005308964,5.87E-05
RESVERATROL,NPC1,0.65,0.01,0.004873803,2.93E-05
PIFEXOLE,NPC1,0.62,0.06,0.004612707,0.000176041
CHEMBL1320453,NPC1,0.62,0.06,0.004612707,0.000176041
CHEMBL35482,NPC1,0.59,0.01,0.00435161,2.93E-05
CHEMBL84010,NPC1,0.58,0.03,0.004264578,8.80E-05
CHEMBL114544,NPC1,0.54,0.05,0.003916449,0.000146701
CHEMBL412603,NPC1,0.54,0.05,0.003916449,0.000146701
CHEMBL502774,NPC1,0.54,0.05,0.003916449,0.000146701
GENISTEIN,NPC1,0.49,0.01,0.003481288,2.93E-05
BIOCHANIN,NPC1,0.48,0.05,0.003394256,0.000146701
CHEMBL602561,NPC1,0.48,0.05,0.003394256,0.000146701
4'-METHOXYFLAVONE,NPC1,0.48,0.05,0.003394256,0.000146701
CHEMBL323356,NPC1,0.44,0.04,0.003046127,0.000117361
CHEMBL260311,NPC1,0.4,0.04,0.002697998,0.000117361
RILUZOLE,NPC1,0.38,0.02,0.002523934,5.87E-05
PIPERINE,NPC1,0.34,0.03,0.002175805,8.80E-05
LANSOPRAZOLE,NPC1,0.34,0.02,0.002175805,5.87E-05
RABEPRAZOLE SODIUM,NPC1,0.26,0.02,0.001479547,5.87E-05
CHEMBL1161866,NDUFS7,7.08,0.59,0.060835509,0.001731068
NV-128,NDUFS7,1.13,0.28,0.009051349,0.000821524
ME-344,NDUFS7,1.11,0.28,0.008877285,0.000821524
METFORMIN HYDROCHLORIDE,NDUFS7,1.05,0.26,0.008355091,0.000762844
ARTENIMOL,ALB,11.29,0.07,0.097476066,0.000205381
EPIGALLOCATECHIN,ALB,8.71,3.79,0.075021758,0.011119913
CHEMBL1945287,ALB,8.71,3.79,0.075021758,0.011119913
COCHINCHINENIN C,ALB,8.71,3.79,0.075021758,0.011119913
[19F]-HALOPERIDOL,ALB,4.36,1.89,0.03716275,0.005545287
IODIPAMIDE,ALB,4.36,1.89,0.03716275,0.005545287
AMODIAQUINE HYDROCHLORIDE,ALB,4.36,1.89,0.03716275,0.005545287
OLMESARTAN MEDOXOMIL,ALB,4.36,1.89,0.03716275,0.005545287
GADOFOSVESET,ALB,4.36,1.89,0.03716275,0.005545287
ANILINE,ALB,4.36,1.89,0.03716275,0.005545287
GUAIACOL,ALB,4.36,1.89,0.03716275,0.005545287
AMSACRINE,ALB,2.42,0.21,0.020278503,0.000616143
PYROGALLOL,ALB,2.32,0.25,0.019408181,0.000733504
RALTITREXED,ALB,2.18,0.47,0.01818973,0.001378987
EPICATECHIN GALLATE,ALB,2.18,0.95,0.01818973,0.002787313
SILVER,ALB,2.18,0.95,0.01818973,0.002787313
NORELGESTROMIN,ALB,2.18,0.95,0.01818973,0.002787313
PHENOL,ALB,2.18,0.47,0.01818973,0.001378987
FLUCONAZOLE,ALB,1.94,0.42,0.016100957,0.001232286
EPIGALOCATECHIN GALLATE,ALB,1.8,0.13,0.014882507,0.000381422
(-)-EPICATECHIN,ALB,1.58,0.34,0.012967798,0.000997565
PHENYLBUTAZONE,ALB,1.45,0.32,0.011836379,0.000938884
CEFOTAXIME,ALB,1.45,0.32,0.011836379,0.000938884
WARFARIN,ALB,1.18,0.1,0.00948651,0.000293401
DICLOFENAC,ALB,1.09,0.16,0.00870322,0.000469442
PYRIDOSTIGMINE,ALB,1.09,0.47,0.00870322,0.001378987
DIAZEPAM,ALB,0.87,0.13,0.006788512,0.000381422
EBSELEN,ALB,0.85,0.05,0.006614447,0.000146701
NAPROXEN,ALB,0.73,0.32,0.005570061,0.000938884
OXYPHENBUTAZONE,ALB,0.62,0.14,0.004612707,0.000410762
TRIFERIC,FTH1,2.18,9.47,0.01818973,0.027785113
FERROUS FUMARATE,FTH1,1.34,2.91,0.010879025,0.008537981
FERROUS GLYCINE SULFATE,FTH1,1.34,2.91,0.010879025,0.008537981
COPPER,VTN,3.75,0.2,0.031853786,0.000586803
ABCIXIMAB,VTN,2.9,4.73,0.024456049,0.013877886
ZINC CHLORIDE,VTN,2.83,0.44,0.023846823,0.001290966
METHYLDOPA,VTN,2.04,0.18,0.016971279,0.000528123
RADICICOL,DLAT,7.26,6.31,0.062402089,0.018513628
DIHYDROLIPOIC ACID,DLAT,5.81,12.62,0.049782419,0.037027257
CHEMBL1161866,DLAT,4.72,0.53,0.040295909,0.001555027
TETRAHYDROFOLATE,MTHFD1,4.75,10.33,0.040557006,0.030308365
CHEMBL1161866,MTHFD1,3.54,0.39,0.03002611,0.001144265
SODIUM BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE PHOSPHATE,MTHFD1,2.7,1.96,0.022715405,0.005750667
MANNOSE-6-PHOSPHATE,IGF2R,17.42,28.4,0.150826806,0.083325998
MANNOSE 6-PHOSPHATE,IGF2R,8.71,28.4,0.075021758,0.083325998
CERLIPONASE ALFA,IGF2R,8.71,28.4,0.075021758,0.083325998
MECASERMIN,IGF2R,2.18,7.1,0.01818973,0.0208315
ACETYLDIGITOXIN,ATP1A3,1.63,1.42,0.013402959,0.0041663
OUABAIN,ATP1A3,1.58,2.07,0.012967798,0.006073409
DESLANOSIDE,ATP1A3,1.45,1.26,0.011836379,0.003696858
DIGITOXIN,ATP1A3,1.21,0.63,0.009747607,0.001848429
DIGOXIN,ATP1A3,0.38,0.33,0.002523934,0.000968225
ARTENIMOL,DSP,7.53,0.47,0.064751958,0.001378987
METHYLDOPA,DSP,2.04,0.24,0.016971279,0.000704163
ENALAPRIL,DSP,1.74,1.89,0.014360313,0.005545287
VOCLOSPORIN,PPP3CB,1.24,8.12,0.010008703,0.023824194
CHEMBL383570,PTPN1,17.42,3.85,0.150826806,0.011295954
CHEMBL139050,PTPN1,17.42,3.85,0.150826806,0.011295954
CHEMBL64934,PTPN1,17.42,3.85,0.150826806,0.011295954
CHEMBL138806,PTPN1,17.42,3.85,0.150826806,0.011295954
CHEMBL1161221,PTPN1,17.42,3.85,0.150826806,0.011295954
CHEMBL577144,PTPN1,17.42,3.85,0.150826806,0.011295954
CHEMBL342478,PTPN1,17.42,3.85,0.150826806,0.011295954
CHEMBL139423,PTPN1,17.42,3.85,0.150826806,0.011295954
CHEMBL117869,PTPN1,17.42,3.85,0.150826806,0.011295954
CHEMBL336908,PTPN1,17.42,3.85,0.150826806,0.011295954
CHEMBL1161222,PTPN1,17.42,3.85,0.150826806,0.011295954
CHEMBL426815,PTPN1,13.07,2.89,0.112967798,0.008479301
CHEMBL1232829,PTPN1,13.07,2.89,0.112967798,0.008479301
CHEMBL1230658,PTPN1,13.07,2.89,0.112967798,0.008479301
CHEMBL175198,PTPN1,13.07,2.89,0.112967798,0.008479301
CHEMBL139393,PTPN1,13.07,2.89,0.112967798,0.008479301
CHEMBL267048,PTPN1,13.07,2.89,0.112967798,0.008479301
CHEMBL325029,PTPN1,13.07,2.89,0.112967798,0.008479301
LICOAGRODIN,PTPN1,8.71,1.93,0.075021758,0.005662647
